text,context,targets,resolution
cw sup tmp,,"condLeavingTemp (1.41421; rows 2, sites 1) | twrLeavingTemp (1; rows 1, sites 1)",condLeavingTemp
ch wtr vlv pos,,"coolingValve (1; rows 1, sites 1) | coolingValveFb (1; rows 1, sites 1)",DROPPED (tie)
clg spt,,"occupiedCoolSp (10; rows 471, sites 1) | zoneCoolSp (10; rows 1028, sites 1)",DROPPED (tie)
clg tmp,,"coolingCoilLeavingTemp (5.74456; rows 33, sites 1) | coolingCoilDischargeTemp (4.47214; rows 20, sites 1)",coolingCoilLeavingTemp
clg vlv pos,,"coolingValveFb (2.23607; rows 5, sites 1) | coolingValve (1; rows 1, sites 1)",coolingValveFb
clg sig,,"coolingValve (10; rows 141, sites 1) | coolingValveFb (5.65685; rows 32, sites 1)",coolingValve
cooling,,"coolingStage (3.16228; rows 10, sites 1) | coolingValve (2; rows 4, sites 1)",coolingStage
cur hw sup tmp sp,,"priLeavingTempSp (1; rows 1, sites 1) | secLeavingTempSp (1; rows 1, sites 1)",priLeavingTempSp
current damper position,,"damperFb (8.66025; rows 75, sites 1) | dischargeDamper (7.34847; rows 54, sites 1) | dischargeDamperFb (5.65685; rows 32, sites 1)",damperFb
da f ll htg,,"dischargeFlowHeatMinSp (10; rows 400, sites 1) | dischargeFlowHeatSp (10; rows 158, sites 1)",DROPPED (tie)
dmpr pos,,"dischargeDamperFb (30; rows 2001, sites 3) | outsideDamperFb (5.47723; rows 30, sites 1)",dischargeDamperFb
dp,,"secLeavingPressure (1; rows 1, sites 1) | secPressureDelta (1; rows 1, sites 1)",DROPPED (tie)
dps,,"dischargeEnthalpySp (1.41421; rows 2, sites 1) | secPressureDeltaSp (1; rows 1, sites 1)",dischargeEnthalpySp
dpsp,,"dischargePressureSp (3.16228; rows 10, sites 1) | secPressureDeltaSp (1; rows 1, sites 1)",dischargePressureSp
damper comd,,"dischargeDamper (3.87298; rows 15, sites 1) | dischargeDamperFb (1; rows 1, sites 1)",dischargeDamper
dehum mode,,"dehumidEnable (2; rows 4, sites 1) | dehumidifierStatus (1; rows 1, sites 1) | dehumidMode (0.5; rows 0, sites 0)",dehumidEnable
dmp cmd,,"dischargeDamper (10; rows 177, sites 1) | intakeDamper (3.31662; rows 11, sites 1)",dischargeDamper
dmp pos,,"dischargeDamper (20; rows 368, sites 2) | damper (9.38083; rows 88, sites 1)",dischargeDamper
drive status,,"returnFanStatus (1; rows 1, sites 1) | dischargeFanStatus (1; rows 1, sites 1) | priPumpCommand (1; rows 1, sites 1)",returnFanStatus
ea tmp,,"exhaustTemp (6.12311; rows 21, sites 2) | wheelExhaustTemp (1; rows 1, sites 1)",exhaustTemp
ef s,,"exhaustFanStatus (5.47214; rows 21, sites 2) | exhaustFan (1.41421; rows 2, sites 1)",exhaustFanStatus
ef cmd,,"exhaustFan (14.6569; rows 97, sites 3) | returnFan (1.41421; rows 2, sites 1)",exhaustFan
ef cur sw,,"exhaustFan (1.73205; rows 3, sites 1) | exhaustFanStatus (1.41421; rows 2, sites 1)",exhaustFan
ef spd,,"exhaustFanSpeed (5.04868; rows 14, sites 2) | exhaustFanSpeedFb (2.41421; rows 3, sites 2) | exhaustFan (1.73205; rows 3, sites 1)",exhaustFanSpeed
erp,,"recPump (2; rows 4, sites 1) | wheelExhaustPressure (2; rows 4, sites 1)",DROPPED (tie)
est dmpr pos cd,,"coldDeckDamper (7.2111; rows 52, sites 1) | dischargeDamperFb (5.38516; rows 29, sites 1)",coldDeckDamper
est dmpr pos hd,,"hotDeckDamper (7.2111; rows 52, sites 1) | hotDeckDamperFb (5.38516; rows 29, sites 1)",hotDeckDamper
fan flow,,"dischargeFlow (5.47723; rows 30, sites 1) | exhaustFlow (2.44949; rows 6, sites 1)",dischargeFlow
fa byp dpr,,"faceDamper (1.41421; rows 2, sites 1) | faceBypassDamper (1; rows 1, sites 1)",faceDamper
flow rate,,"condLeavingFlowTotal (1; rows 1, sites 1) | twrEnteringFlow (1; rows 1, sites 1) | flow (0.5; rows 0, sites 0)",condLeavingFlowTotal
gly pmp sts,,"recPumpStatus (1.41421; rows 2, sites 1) | circPumpStatus (1; rows 1, sites 1)",recPumpStatus
hct,,"heatingCoilDischargeTemp (3.16228; rows 10, sites 1) | heatingCoilLeavingTemp (1; rows 1, sites 1)",heatingCoilDischargeTemp
hcv,,"heatingValve (7.61577; rows 58, sites 1) | heatingValveFb (1; rows 1, sites 1)",heatingValve
hd dmp pos,,"hotDeckDamper (10; rows 140, sites 1) | hotDeckDamperFb (7.48331; rows 56, sites 1)",hotDeckDamper
hdsa tmp sp,,"hotDeckDischargeTempSp (10; rows 116, sites 1) | dischargeTempSp (3.87298; rows 15, sites 1)",hotDeckDischargeTempSp
hdsfvfd cmd,,"hotDeckFan (9.21954; rows 85, sites 1) | dischargeFan (3.87298; rows 15, sites 1)",hotDeckFan
hdsfvfd spd,,"hotDeckFanSpeed (9.16515; rows 84, sites 1) | dischargeFanSpeedFb (3.74166; rows 14, sites 1) | dischargeSpeedFb (1; rows 1, sites 1)",hotDeckFanSpeed
hdsfvfd sts,,"hotDeckFanStatus (9.21954; rows 85, sites 1) | dischargeFanStatus (3.87298; rows 15, sites 1)",hotDeckFanStatus
hd st prs,,"hotDeckDischargePressure (11.5599; rows 89, sites 2) | hotDeckLeavingPressure (9.38083; rows 88, sites 1) | dischargePressure (4; rows 16, sites 1) | dischargePressureSp (1; rows 1, sites 1)",hotDeckDischargePressure
hd st prs sp,,"hotDeckDischargePressureSp (13.0744; rows 96, sites 2) | dischargePressureSp (3.87298; rows 15, sites 1) | hotDeckDischargePressSp (2; rows 4, sites 1)",hotDeckDischargePressureSp
heat cool,,"hvacMode (20; rows 504, sites 2) | heatingEnable (10; rows 1343, sites 1)",hvacMode
hrwe t,,"wheelExhaustTemp (1; rows 1, sites 1) | wheelReturnTemp (1; rows 1, sites 1)",DROPPED (tie)
hrwr t,,"wheelExhaustTemp (1; rows 1, sites 1) | wheelReturnTemp (1; rows 1, sites 1)",DROPPED (tie)
htg o,,"heatingValve (19.7039; rows 476, sites 3) | heatingStageMod (6.32456; rows 40, sites 1)",heatingValve
hus,,"dischargeHumidity (2.64575; rows 7, sites 1) | returnHumiditySp (1; rows 1, sites 1)",dischargeHumidity
hw byp vlv cmd,,"secBypassValve (2; rows 2, sites 2) | bypassValve (1; rows 1, sites 1)",secBypassValve
hw pmp ena,,"priPump (1.41421; rows 2, sites 1) | secPump (1.41421; rows 2, sites 1)",DROPPED (tie)
hw pmp spd,,"secPumpSpeed (6.68556; rows 15, sites 3) | priPumpSpeed (1.41421; rows 2, sites 1)",secPumpSpeed
hws tmp sp,,"secLeavingTempSp (4.41421; rows 7, sites 3) | leavingTempSp (1.41421; rows 2, sites 1) | priLeavingTempSp (1; rows 1, sites 1)",secLeavingTempSp
hwv comd,,"heatingValve (5; rows 25, sites 1) | radiantHeatingValve (3.74166; rows 14, sites 1)",heatingValve
hwv pos,,"heatingValveFb (5; rows 25, sites 1) | radiantHeatingValveFb (3.74166; rows 14, sites 1)",heatingValveFb
hxhwr tmp,,"secEnteringTemp (1.41421; rows 2, sites 1) | priEnteringTemp (1; rows 1, sites 1)",secEnteringTemp
hxu sew t,,"secEnteringTemp (1.41421; rows 2, sites 1) | secLeavingTemp (1; rows 1, sites 1)",secEnteringTemp
hxu slw t,,"secLeavingTemp (1.41421; rows 2, sites 1) | secEnteringTemp (1; rows 1, sites 1)",secLeavingTemp
hd oa dampers,,"minOutsideDamper (2; rows 4, sites 1) | outsideDamper (2; rows 4, sites 1)",DROPPED (tie)
ht rec sw tmp,,"recEaCoilEnteringTemp (1; rows 1, sites 1) | recEaCoilLeavingTemp (1; rows 1, sites 1)",DROPPED (tie)
htg signal,,"heatingDemand (10; rows 166, sites 1) | HtgSignal (8.12404; rows 66, sites 1)",heatingDemand
htg stg cmd,,"heatingStage (15.4772; rows 219, sites 2) | reHeatingStage (1; rows 1, sites 1)",heatingStage
htg vlv pos,,"heatingValve (20; rows 345, sites 2) | heatingValveFb (9.53939; rows 91, sites 1)",heatingValve
hum cmd,,"humidifier (5.77311; rows 21, sites 2) | humidifierValve (3.31662; rows 11, sites 1)",humidifier
humidity sp,,"returnHumiditySp (1.41421; rows 2, sites 1) | zoneHumiditySp (1.41421; rows 2, sites 1)",DROPPED (tie)
hx vlv,,"priValveOneThird (1; rows 1, sites 1) | priValveTwoThird (1; rows 1, sites 1)",DROPPED (tie)
isovlv c,,"priEnteringIsoValve (1.41421; rows 2, sites 1) | twrEnteringIsoValve (1.41421; rows 2, sites 1) | priLeavingIsoValve (1; rows 1, sites 1)",DROPPED (tie)
iso vlv cmd,,"twrIsoValve (2; rows 4, sites 1) | priLeavingIsoValve (1.73205; rows 3, sites 1)",twrIsoValve
kilowatt hours,,"twrFanConsumption (2.23607; rows 5, sites 1) | secPumpConsumption (1.73205; rows 3, sites 1)",twrFanConsumption
ma dmp min pos,,"minOutsideDamper (1; rows 1, sites 1) | minOutsideDamperFb (1; rows 1, sites 1)",minOutsideDamper
mam,,"minOutsideDamper (5.47723; rows 30, sites 1) | outsideDamperMinSp (1.41421; rows 2, sites 1)",minOutsideDamper
min oad,,"minOutsideDamper (2.64575; rows 7, sites 1) | outsideDamperMinSp (1.73205; rows 3, sites 1)",minOutsideDamper
oad o,,"outsideDamper (5.89898; rows 25, sites 2) | outsideDamperFb (1; rows 1, sites 1)",outsideDamper
oa dmp min cmd,,"minOutsideDamper (2.73205; rows 4, sites 2) | minOutsideDamperFb (1.41421; rows 2, sites 1)",minOutsideDamper
oa dmp min pos,,"minOutsideDamper (2.64575; rows 7, sites 1) | outsideDamperMinSp (2; rows 4, sites 1)",minOutsideDamper
oa dmp pos,,"outsideDamper (10.7859; rows 63, sites 3) | outsideDamperFb (7.80162; rows 23, sites 3) | dischargeDamper (1; rows 1, sites 1) | reliefDamper (1; rows 1, sites 1)",outsideDamper
oa tmp ena sp,,"econEnableSp (3.31662; rows 11, sites 1) | systemEnableSp (1; rows 1, sites 1)",econEnableSp
oa enable,,"econEnableSp (3.60555; rows 13, sites 1) | systemEnableSp (1; rows 1, sites 1)",econEnableSp
oa dpr sts,,"outsideDamperStatus (3.87298; rows 15, sites 1) | outsideDamperFb (1; rows 1, sites 1)",outsideDamperStatus
pchwp ss,,"priPump (1.41421; rows 2, sites 1) | priPumpStatus (1; rows 1, sites 1)",priPump
pct,,"dischargeFanSpeed (2; rows 4, sites 1) | exhaustFanSpeed (2; rows 4, sites 1) | secPumpSpeed (1; rows 1, sites 1)",DROPPED (tie)
ph o,,"preHeatingValve (3; rows 5, sites 2) | heatingValve (2.41421; rows 3, sites 2)",preHeatingValve
ph t,,"preHeatingCoilLeavingTemp (3.4641; rows 12, sites 1) | preHeatingCoilDischargeTemp (2.23607; rows 5, sites 1) | preHeatingTemp (1.73205; rows 3, sites 1)",preHeatingCoilLeavingTemp
phw f,,"heatingCoilEnteringFlow (1; rows 1, sites 1) | secEnteringFlow (1; rows 1, sites 1)",DROPPED (tie)
pchwp sts,,"priPump (1; rows 1, sites 1) | priPumpStatus (1; rows 1, sites 1)",DROPPED (tie)
pmp spd cmd,,"condPumpSpeed (2.23607; rows 5, sites 1) | secPumpSpeed (2; rows 4, sites 1) | evapPumpSpeed (1; rows 1, sites 1)",condPumpSpeed
preheat temp,,"heatingCoilDischargeTemp (7.14143; rows 51, sites 1) | preHeatingTemp (2; rows 4, sites 1) | preHeatingCoilDischargeTemp (1; rows 1, sites 1)",heatingCoilDischargeTemp
rad,,"returnDamper (5.65685; rows 32, sites 1) | outsideDamper (1.41421; rows 2, sites 1)",returnDamper
rad o,,"returnDamper (5.89898; rows 25, sites 2) | returnDamperFb (1; rows 1, sites 1)",returnDamper
ra dmp pos,,"returnDamper (12.3616; rows 70, sites 3) | returnDamperFb (3.16228; rows 10, sites 1)",returnDamper
rfvfd cmd,,"returnFan (8.12404; rows 66, sites 1) | exhaustFan (5.2915; rows 28, sites 1) | reliefDamper (1; rows 1, sites 1)",returnFan
rfvfd spd,,"returnFanSpeed (8; rows 64, sites 1) | exhaustFanSpeed (5.19615; rows 27, sites 1)",returnFanSpeed
rfvfd sts,,"returnFanStatus (8.06226; rows 65, sites 1) | exhaustFanStatus (5.47723; rows 30, sites 1)",returnFanStatus
rlf o,,"returnFanSpeed (1.41421; rows 2, sites 1) | exhaustDamper (1; rows 1, sites 1)",returnFanSpeed
rsp,,"zoneTempSp (3.31662; rows 11, sites 1) | returnPressure (1; rows 1, sites 1)",zoneTempSp
rwt,,"secEnteringTemp (2.82843; rows 8, sites 1) | compEnteringTemp (1; rows 1, sites 1)",secEnteringTemp
reheat mod,,"reHeatingValve (3.60555; rows 13, sites 1) | heatingValve (2.82843; rows 8, sites 1)",reHeatingValve
rlf dmp cmd,,"exhaustDamper (2; rows 4, sites 1) | reliefDamper (1; rows 1, sites 1)",exhaustDamper
s,,"dischargeFanStatus (2; rows 4, sites 1) | exhaustFanStatus (2; rows 4, sites 1) | chiller (1.41421; rows 2, sites 1) | secPumpStatus (1; rows 1, sites 1)",DROPPED (tie)
sa st prs sp,,"dischargePressureSp (26.3481; rows 233, sites 3) | outsideFlowSp (1; rows 1, sites 1)",dischargePressureSp
sf air flw sw,,"dischargeFanStatus (2; rows 4, sites 1) | dischargeFlowStatus (1.73205; rows 3, sites 1)",dischargeFanStatus
stv,,"priValveOneThird (1.73205; rows 3, sites 1) | priValveTwoThird (1.73205; rows 3, sites 1) | heatingValveTwoThird (1; rows 1, sites 1)",DROPPED (tie)
swt,,"secLeavingTemp (2.82843; rows 8, sites 1) | compLeavingTemp (1; rows 1, sites 1)",secLeavingTemp
sys,,"chiller (1; rows 1, sites 1) | chillerEnable (1; rows 1, sites 1)",DROPPED (tie)
sec hwr tmp,,"secEnteringTemp (1.73205; rows 3, sites 1) | secLeavingTemp (1; rows 1, sites 1)",secEnteringTemp
speed cmd,,"returnFanSpeed (4.12311; rows 17, sites 1) | dischargeFanSpeed (3.4641; rows 12, sites 1)",returnFanSpeed
speed feedback,,"dischargeFanSpeedFb (6.08276; rows 37, sites 1) | returnFanSpeedFb (5.91608; rows 35, sites 1)",dischargeFanSpeedFb
static press,,"dischargePressure (4.31662; rows 12, sites 2) | exhaustFanEnteringPressure (1; rows 1, sites 1)",dischargePressure
static sp,,"dischargePressureSp (3.31662; rows 11, sites 1) | buildingPressureSp (2.82843; rows 4, sites 2)",dischargePressureSp
stm vlv pos,,"heatingValveOneThird (1.73205; rows 3, sites 1) | heatingValveTwoThird (1.73205; rows 3, sites 1) | heatingValveFb (1; rows 1, sites 1)",DROPPED (tie)
supply fan spd cmd,,"dischargeFanSpeed (1; rows 1, sites 1) | dischargeFan (1; rows 1, sites 1)",dischargeFanSpeed
sys ena,,"systemEnable (5.79202; rows 12, sites 3) | occupancyMode (5; rows 25, sites 1) | unitEnable (3.16228; rows 10, sites 1) | heatingEnable (1.41421; rows 2, sites 1) | chiller (1; rows 1, sites 1)",systemEnable
valve comd,,"radiantHeatingValve (3.31662; rows 11, sites 1) | heatingValve (1.41421; rows 2, sites 1)",radiantHeatingValve
valve pos,,"radiantHeatingValveFb (3.31662; rows 11, sites 1) | heatingValveFb (1.41421; rows 2, sites 1)",radiantHeatingValveFb
vfd running,,"dischargeFanStatus (2.44949; rows 6, sites 1) | returnFanStatus (2; rows 4, sites 1)",dischargeFanStatus
vfd cmd,,"dischargeFanSpeed (3; rows 5, sites 2) | returnFanSpeed (2; rows 4, sites 1)",dischargeFanSpeed
vlv pos,,"heatingValveFb (20; rows 881, sites 2) | coolingValveFb (17.9394; rows 124, sites 3) | dischargeDamperFb (10; rows 198, sites 1) | reHeatingValveFb (10; rows 351, sites 1) | waterValveFb (10; rows 707, sites 1) | perimeterHeatingValveFb (9.32738; rows 87, sites 1) | radiantHeatingValveFb (2; rows 4, sites 1)",heatingValveFb
valve,,"waterValve (10; rows 202, sites 1) | twrEnteringIsoValve (1.41421; rows 2, sites 1)",waterValve
vcm on rly fan,,"dischargeFan (2; rows 4, sites 1) | occupancyMode (1.41421; rows 2, sites 1)",dischargeFan
af w cmd,,"returnFan (1; rows 1, sites 1) | dischargeFan (1; rows 1, sites 1)",returnFan
af w spd,,"dischargeFanSpeed (1; rows 1, sites 1) | returnFanSpeed (1; rows 1, sites 1)",DROPPED (tie)
af w sts,,"dischargeFanStatus (1; rows 1, sites 1) | returnFanStatus (1; rows 1, sites 1)",DROPPED (tie)
air vol,,"dischargeFlow (19.3808; rows 286, sites 2) | returnFlow (2; rows 4, sites 1)",dischargeFlow
bo chwp ss,,"evapPump (1.41421; rows 2, sites 1) | evapPumpStatus (1; rows 1, sites 1)",evapPump
cc tmp sp,,"dischargeTempSp (3; rows 9, sites 1) | coolingCoilDischargeTempSp (1; rows 1, sites 1)",dischargeTempSp
cdp iso vlv pos,,"condIsoValveFb (1; rows 1, sites 1) | evapIsoValveFb (1; rows 1, sites 1)",DROPPED (tie)
ch liq flow switch stat,,"evapFlowStatus (1.41421; rows 2, sites 1) | evapLeavingFlow (1; rows 1, sites 1)",evapFlowStatus
chl chw iso vlv cmd,,"priEnteringIsoValve (2; rows 4, sites 1) | evapIsoValve (1.73205; rows 3, sites 1) | condIsoValve (1; rows 1, sites 1)",priEnteringIsoValve
chl chw iso vlv pos,,"condIsoValveFb (1.41421; rows 2, sites 1) | evapIsoValveFb (1.41421; rows 2, sites 1)",DROPPED (tie)
chl cmd,,"chiller (2.73205; rows 4, sites 2) | chillerStatus (1.41421; rows 2, sites 1)",chiller
chl ena cmd,,"chiller (1.41421; rows 2, sites 1) | chillerStatus (1; rows 1, sites 1)",chiller
chwp spd,,"secPumpSpeed (1.73205; rows 3, sites 1) | evapPumpFrequency (1.41421; rows 2, sites 1) | condPumpSpeed (1; rows 1, sites 1) | priPumpSpeed (1; rows 1, sites 1) | priPumpSpeedFb (1; rows 1, sites 1)",secPumpSpeed
chwr temp,,"secEnteringTemp (2.82843; rows 4, sites 2) | priEnteringTemp (1; rows 1, sites 1)",secEnteringTemp
chw flow,,"secLeavingFlow (1.41421; rows 2, sites 1) | evapFlowStatus (1.41421; rows 2, sites 1) | evapLeavingFlow (1; rows 1, sites 1)",secLeavingFlow
cnd flow switch stat,,"condLeavingFlow (1.41421; rows 2, sites 1) | condFlowStatus (1; rows 1, sites 1)",condLeavingFlow
ct byp vlv pos,,"twrBypassValve (1.73205; rows 3, sites 1) | twrBypassValveFb (1.73205; rows 3, sites 1)",DROPPED (tie)
ct enbl,,"twrFan (1.41421; rows 2, sites 1) | twrEnable (0.5; rows 0, sites 0)",twrFan
cwp cw pmp spd,,"condPumpSpeed (1.41421; rows 2, sites 1) | condPumpFrequency (1; rows 1, sites 1) | evapPumpFrequency (1; rows 1, sites 1)",condPumpSpeed
cd flw sw,,"condFlowStatus (2.64575; rows 7, sites 1) | condEnteringFlow (2.23607; rows 5, sites 1)",condFlowStatus
chw dp sp,,"secPressureDeltaSp (1.41421; rows 2, sites 1) | priPressureDeltaSp (1; rows 1, sites 1)",secPressureDeltaSp
chw s temp,,"evapLeavingTemp (1.41421; rows 2, sites 1) | secLeavingTemp (1; rows 1, sites 1)",evapLeavingTemp
chw sys enab,,"chillerEnable (1; rows 1, sites 1) | systemEnable (1; rows 1, sites 1)",DROPPED (tie)
clg sp,,"occupiedCoolSp (9.32738; rows 87, sites 1) | dischargeTempCoolSp (2; rows 4, sites 1)",occupiedCoolSp
clg sts,,"coolingStageStatus (9.53939; rows 91, sites 1) | coolingEnable (1; rows 1, sites 1)",coolingStageStatus
clg tmp sp,,"dischargeTempSp (3.60555; rows 13, sites 1) | coolSp (2; rows 4, sites 1) | dischargeTempCoolSp (1; rows 1, sites 1)",dischargeTempSp
cooling output command,,"coolingValve (4.24264; rows 18, sites 1) | coolingValveFb (1; rows 1, sites 1)",coolingValve
cw s temp,,"condLeavingTemp (1.41421; rows 2, sites 1) | condEnteringTemp (1; rows 1, sites 1)",condLeavingTemp
dat max sp,,"dischargeTemp (3.16228; rows 10, sites 1) | dischargeTempMaxSp (1; rows 1, sites 1)",dischargeTemp
dat min sp,,"dischargeTemp (3.4641; rows 12, sites 1) | dischargeTempMinSp (1; rows 1, sites 1)",dischargeTemp
ea dmp sts,,"exhaustDamper (1; rows 1, sites 1) | exhaustDamperFb (1; rows 1, sites 1)",DROPPED (tie)
eff rm tmp clg sp,,"zoneCoolSp (13; rows 298, sites 2) | occupiedCoolSp (3.16228; rows 10, sites 1)",zoneCoolSp
eff rm tmp htg sp,,"zoneHeatSp (13; rows 298, sites 2) | occupiedHeatSp (3.16228; rows 10, sites 1)",zoneHeatSp
ev flw sw,,"evapLeavingFlow (2.64575; rows 7, sites 1) | evapEnteringFlow (2.23607; rows 5, sites 1) | evapFlowStatus (1.73205; rows 3, sites 1)",evapLeavingFlow
fa bpy dpr,,"faceBypassDamper (4.69042; rows 22, sites 1) | faceDamper (1.41421; rows 2, sites 1)",faceBypassDamper
flw rat,,"dischargeFlow (1; rows 1, sites 1) | secLeavingFlow (1; rows 1, sites 1)",DROPPED (tie)
hw diff prs,,"secLeavingPressure (1; rows 1, sites 1) | secPressureDelta (1; rows 1, sites 1)",DROPPED (tie)
hwp blr pmp cmd,,"secPump (2.64575; rows 7, sites 1) | priPump (2; rows 4, sites 1)",secPump
hwp blr pmp sts,,"secPumpStatus (2.64575; rows 7, sites 1) | priPumpStatus (2; rows 4, sites 1)",secPumpStatus
hx stm vlv cmd,,"priValveOneThird (3.14626; rows 5, sites 2) | priValveTwoThird (3.14626; rows 5, sites 2)",DROPPED (tie)
hx ena,,"systemEnable (1.73205; rows 3, sites 1) | heatingEnable (1.41421; rows 2, sites 1)",systemEnable
htg sp,,"occupiedHeatSp (9.27362; rows 86, sites 1) | dischargeTempHeatSp (2; rows 4, sites 1) | reHeatingCoilDischargeTempSp (1.41421; rows 2, sites 1) | secLeavingTempSp (1; rows 1, sites 1)",occupiedHeatSp
htg tmp sp,,"heatSp (1; rows 1, sites 1) | dischargeTempHeatSp (1; rows 1, sites 1)",heatSp
hw vlv sig,,"heatingValveFb (2.23607; rows 5, sites 1) | heatingValve (1.73205; rows 3, sites 1)",heatingValveFb
max sa tmp sp,,"dischargeTempMaxSp (5.56776; rows 31, sites 1) | mixedTempHiSp (1.41421; rows 2, sites 1)",dischargeTempMaxSp
min flow stpt,,"dischargeFlowCoolMinSp (10; rows 232, sites 1) | dischargeFlowHeatSp (4.58258; rows 21, sites 1)",dischargeFlowCoolMinSp
min oa dmp pos sp,,"minOutsideFaceDamper (2.82843; rows 8, sites 1) | minOutsideDamper (2.82843; rows 8, sites 1)",minOutsideFaceDamper
nsb sp,,"nightSetbackMode (2.44949; rows 6, sites 1) | unoccupiedHeatSp (1; rows 1, sites 1)",nightSetbackMode
oa byp dmp cmd,,"bypassDamper (1; rows 1, sites 1) | outsideIsoDamper (1; rows 1, sites 1)",bypassDamper
oa dmp pos px,,"outsideDamperFb (2; rows 4, sites 1) | reliefDamper (1.73205; rows 3, sites 1)",outsideDamperFb
oaf cmd,,"outsideFan (4; rows 8, sites 2) | dischargeFan (3; rows 9, sites 1) | minOutsideFan (2.44949; rows 6, sites 1)",outsideFan
oaf sts,,"outsideFanStatus (3.14626; rows 5, sites 2) | dischargeFanStatus (3; rows 9, sites 1) | minOutsideFan (1.41421; rows 2, sites 1)",outsideFanStatus
oara dmp pos,,"outsideDamper (2; rows 4, sites 1) | reliefDamper (1.41421; rows 2, sites 1)",outsideDamper
oa damper status,,"outsideIsoDamperFb (2.23607; rows 5, sites 1) | outsideDamperFb (1.73205; rows 3, sites 1)",outsideIsoDamperFb
occ cmd sts,,"occupancyStatus (9.27362; rows 86, sites 1) | occupancyMode (7.28011; rows 53, sites 1)",occupancyStatus
phc tmp sp,,"preHeatingCoilDischargeTempSp (1.41421; rows 2, sites 1) | preHeatingTempSp (1; rows 1, sites 1)",preHeatingCoilDischargeTempSp
prot clg stpt,,"standbyCoolSp (10; rows 199, sites 1) | unoccupiedCoolSp (2.23607; rows 5, sites 1)",standbyCoolSp
pre ht coil tmp,,"minOutsideTemp (2.82843; rows 8, sites 1) | preHeatingTemp (2.44949; rows 6, sites 1) | heatingCoilDischargeTemp (1; rows 1, sites 1) | minOutsideTempSp (1; rows 1, sites 1)",minOutsideTemp
pre ht tmp sp,,"minOutsideTempSp (1.73205; rows 3, sites 1) | preHeatingTempSp (1; rows 1, sites 1) | heatingCoilDischargeTempSp (1; rows 1, sites 1)",minOutsideTempSp
pre ht vlv cmd,,"minOutsideHeatingStage (2.82843; rows 8, sites 1) | heatingValve (1; rows 1, sites 1) | minOutsideDamper (1; rows 1, sites 1)",minOutsideHeatingStage
pump cmd,,"pump (3.74166; rows 14, sites 1) | pumpStatus (1.41421; rows 2, sites 1)",pump
ra dmp pos px,,"returnDamperFb (2.44949; rows 6, sites 1) | returnDamper (1; rows 1, sites 1)",returnDamperFb
ra rel hum sp,,"returnHumiditySp (3.60555; rows 13, sites 1) | returnHumidSp (2.64575; rows 7, sites 1)",returnHumiditySp
ra static sp,,"returnPressureSp (1; rows 1, sites 1) | returnPressure (1; rows 1, sites 1)",returnPressureSp
rhc v,,"heatingValve (10; rows 254, sites 1) | reHeatingValve (10; rows 414, sites 1)",DROPPED (tie)
rec pmp cmd,,"circPump (2.73205; rows 4, sites 2) | heatingCoilPump (2; rows 4, sites 1)",circPump
rec pmp sts,,"heatingCoilPumpStatus (2; rows 4, sites 1) | circPumpStatus (1.73205; rows 3, sites 1)",heatingCoilPumpStatus
sa dmp pos,,"damper (5.91608; rows 35, sites 1) | dischargeDamper (4.24264; rows 18, sites 1)",damper
schw pump status,,"secPumpStatus (1.73205; rows 3, sites 1) | pumpEnable (1; rows 1, sites 1)",secPumpStatus
sf spd sig,,"dischargeFanSpeedFb (2; rows 4, sites 1) | returnFanSpeed (1; rows 1, sites 1)",dischargeFanSpeedFb
smp pmp sts,,"secPumpStatus (1.73205; rows 3, sites 1) | sumpPumpStatus (0.5; rows 0, sites 0)",secPumpStatus
sa pr sp,,"dischargePressureSp (1.41421; rows 2, sites 1) | dischargePressure (1; rows 1, sites 1)",dischargePressureSp
stm tmp,,"priEnteringTemp (1; rows 1, sites 1) | steamTemp (0.5; rows 0, sites 0)",priEnteringTemp
under flr tmp sp,,"zoneTempSp (1.73205; rows 3, sites 1) | dischargeTempSp (1.41421; rows 2, sites 1)",zoneTempSp
vav clg dmd,,"coolingDemand (10; rows 140, sites 1) | coldDeckDamper (5.38516; rows 29, sites 1) | coolingValve (4.3589; rows 19, sites 1)",coolingDemand
vav htg dmd,,"heatingDemand (10; rows 140, sites 1) | hotDeckDamper (5.38516; rows 29, sites 1)",heatingDemand
vlv cmd,,"dischargeDamper (10; rows 198, sites 1) | heatingValve (10; rows 163, sites 1) | waterValve (3.4641; rows 12, sites 1) | coolingValve (3; rows 9, sites 1) | mixingValve (1.41421; rows 2, sites 1)",DROPPED (tie)
vnt dmpr,,"exhaustDamper (3.16228; rows 10, sites 1) | outsideDamper (1; rows 1, sites 1)",exhaustDamper
vnt dmpr fdbk,,"exhaustDamperFb (3.16228; rows 10, sites 1) | outsideDamperFb (1; rows 1, sites 1)",exhaustDamperFb
vnt flow,,"exhaustFlow (3.16228; rows 10, sites 1) | outsideFlow (1; rows 1, sites 1)",exhaustFlow
zn sp,,"zoneTempSp (4.3778; rows 10, sites 2) | zonePressure (1; rows 1, sites 1)",zoneTempSp
ahu chwr tmp,,"coolingCoilLeavingTemp (1.73205; rows 3, sites 1) | secEnteringTemp (1.73205; rows 3, sites 1)",DROPPED (tie)
ahu chws tmp,,"coolingCoilEnteringTemp (1.73205; rows 3, sites 1) | secLeavingTemp (1.73205; rows 3, sites 1)",DROPPED (tie)
